epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1378.33,1.83406,2.95803,1.06436,0.44996,0.11456,0.08056,0.04239,1.76701,1.95436,1.00704,0.000237547,0.000237547,0.000237547
2,2361.74,1.71686,1.92145,1.03637,0.50051,0.15448,0.11971,0.06565,1.65848,1.71579,0.99465,0.000428468,0.000428468,0.000428468
3,3552.04,1.67032,1.75102,1.02716,0.50878,0.1634,0.12706,0.06958,1.61952,1.60357,0.99216,0.000572264,0.000572264,0.000572264
4,5555.8,1.64008,1.63095,1.01466,0.53296,0.17748,0.14736,0.08248,1.57929,1.50044,0.97894,0.000501942,0.000501942,0.000501942
5,6920.99,1.5963,1.54268,1.00011,0.56301,0.1767,0.15009,0.0849,1.57308,1.47332,0.97082,0.000431256,0.000431256,0.000431256
6,7874.45,1.57146,1.47935,0.99056,0.55103,0.19225,0.16448,0.09378,1.53449,1.41009,0.96053,0.00036057,0.00036057,0.00036057
7,8846.88,1.55655,1.42648,0.98397,0.56363,0.1978,0.17408,0.1,1.51464,1.37665,0.9536,0.000289884,0.000289884,0.000289884
8,9801.74,1.52695,1.38867,0.97722,0.56938,0.20153,0.17829,0.1032,1.49374,1.33029,0.951,0.000219198,0.000219198,0.000219198
9,10762,1.49532,1.34707,0.96771,0.57603,0.20601,0.18761,0.10874,1.47183,1.29646,0.94563,0.000148512,0.000148512,0.000148512
10,11723,1.48717,1.32159,0.96446,0.58809,0.2084,0.19627,0.11552,1.45559,1.26674,0.93919,7.7826e-05,7.7826e-05,7.7826e-05
